age,nationality,fee_structure,loyalty_classification,estimated_income,superannuation_savings,amount_of_credit_cards,credit_card_balance,bank_loans,bank_deposits,checking_accounts,saving_accounts,foreign_currency_account,business_lending,properties_owned,risk_weighting,brid,genderid,tenure_year,total_assets,total_liabilities,net_worth,debt_to_income
24,American,High,Jade,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,1,1,2019,2726706.89,1911202.7600000002,815504.1299999999,25.35263767469212
23,African,High,Jade,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,2,1,2001,1294200.55,3273398.41,-1979197.86,11.294033511767465
27,European,High,Gold,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,3,2,2010,2011028.3099999998,1605422.1600000001,405606.1499999997,9.447259170449824
40,American,Mid,Silver,356808.11,5473.15,2,4205.0,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0,4,4,1,2019,2393986.8,1273802.35,1120184.4499999997,3.5699927056030205
46,American,Mid,Platinum,130711.68,48077.6,1,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0,3,1,2,2012,1140867.97,2726493.56,-1585625.59,20.858836486532805
23,American,High,Silver,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,1,1,2019,2312850.9000000004,2163082.12,149768.78000000026,18.280551786338464
46,Asian,High,Gold,57336.47,13929.16,1,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1,1,1,2,2002,143402.94999999998,363981.20999999996,-220578.25999999998,6.348162173220639
78,European,Mid,Gold,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,2,2,2000,340743.63,2316738.06,-1975994.4300000002,35.57327602885492
67,Asian,High,Silver,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,2,2,2015,1886720.59,1268083.3599999999,618637.2300000002,14.434729771278072
51,European,Mid,Silver,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,3,1,1995,620056.41,973448.7,-353392.2899999999,14.891513394042713
55,European,High,Jade,74966.51,16928.73,1,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3,1,3,1,2014,136988.37,567941.0700000001,-430952.70000000007,7.5759305055017245
73,American,Mid,Jade,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,3,2,2005,1507809.93,875258.95,632550.98,7.853443985978886
45,African,Low,Silver,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,3,2,2018,980531.75,1792761.4100000001,-812229.6600000001,15.503329076052436
44,American,High,Jade,124434.78,26146.0,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,3,2,1996,1335629.8900000001,1825558.7,-489928.8099999998,14.670807470387299
